beta_guess,n_guess,seed,beta_rel_error,n_rel_error,parameter_rel_error,state_rmse,outdir
8.0,2.0,0,0.506708812713623,0.033713579177856445,0.2702111959457397,0.19212579136904034,results/exp4_initial_guess/runs/bg8.0_ng2.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
8.0,2.5,0,0.5371786117553711,0.05453030268351237,0.2958544572194417,0.1818761433486453,results/exp4_initial_guess/runs/bg8.0_ng2.5/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
8.0,3.0,0,0.5586933135986328,0.13915014266967773,0.3489217281341553,0.17977385858033643,results/exp4_initial_guess/runs/bg8.0_ng3.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
8.0,3.5,0,0.5738607406616211,0.2315361499786377,0.4026984453201294,0.1823620808776125,results/exp4_initial_guess/runs/bg8.0_ng3.5/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
8.0,4.0,0,0.5845942497253418,0.33985598882039386,0.4622251192728678,0.1901982467922985,results/exp4_initial_guess/runs/bg8.0_ng4.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
8.0,4.5,0,0.5919677734375,0.46409066518147785,0.5280292193094889,0.20460185923438984,results/exp4_initial_guess/runs/bg8.0_ng4.5/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
8.0,5.0,0,0.5968419075012207,0.5995516777038574,0.5981967926025391,0.22187367669873578,results/exp4_initial_guess/runs/bg8.0_ng5.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
9.0,1.0,0,0.6149564743041992,0.2776330312093099,0.44629475275675456,0.34583465446355505,results/exp4_initial_guess/runs/bg9.0_ng1.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
9.0,1.5,0,0.6670742034912109,0.13225658734639487,0.3996653954188029,0.271898926792343,results/exp4_initial_guess/runs/bg9.0_ng1.5/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
9.0,2.0,0,0.7092830657958984,0.017250935236612957,0.36326700051625566,0.2407852656066845,results/exp4_initial_guess/runs/bg9.0_ng2.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
9.0,2.5,0,0.7390691757202148,0.08113161722819011,0.41010039647420243,0.22700237266093526,results/exp4_initial_guess/runs/bg9.0_ng2.5/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
9.0,3.0,0,0.7594070434570312,0.1748498280843099,0.4671284357706706,0.21584027746192208,results/exp4_initial_guess/runs/bg9.0_ng3.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
9.0,3.5,0,0.7733701705932617,0.2743251323699951,0.5238476514816284,0.2133970546890116,results/exp4_initial_guess/runs/bg9.0_ng3.5/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
9.0,4.0,0,0.782951545715332,0.3849647839864095,0.5839581648508707,0.21402692556780645,results/exp4_initial_guess/runs/bg9.0_ng4.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
9.0,4.5,0,0.789454460144043,0.5079571406046549,0.6487058003743489,0.22039199631820108,results/exp4_initial_guess/runs/bg9.0_ng4.5/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
9.0,5.0,0,0.7938501358032226,0.6402643521626791,0.7170572439829508,0.22967916855670972,results/exp4_initial_guess/runs/bg9.0_ng5.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
